,Title,Major Genre,Running Time min,Year,US_Revenue,IMDB Rating,MPAA Rating
38,The Nutty Professor,Comedy,95.0,1996,128.814019,5.6,PG-13
39,Phenomenon,Drama,124.0,1996,104.636382,6.3,PG
40,The Phantom,Action,100.0,1996,17.220599,4.8,PG
41,The Adventures of Pinocchio,Adventure,94.0,1996,15.38217,5.3,G
42,Ransom,Action,121.0,1996,136.492681,6.6,R
43,Romeo+Juliet,Drama,120.0,1996,46.338728,6.5,PG-13
44,The Rock,Action,136.0,1996,134.069511,7.2,R
45,Sgt. Bilko,Comedy,93.0,1996,30.356589,5.2,PG
46,Shine,Drama,105.0,1996,35.811509,7.6,PG-13
47,Set It Off,Drama,120.0,1996,36.049108,6.3,R
48,Thinner,Horror,93.0,1996,15.171475,5.3,R
49,Sling Blade,Drama,133.0,1996,24.475416,8.0,R
50,Sleepers,Drama,105.0,1996,53.300852,7.3,R
51,Stonewall,Drama,99.0,1996,0.304602,7.0,R
52,Striptease,Comedy,115.0,1996,32.773011,3.9,R
53,Saints and Soldiers,Drama,90.0,2004,1.31047,7.0,PG-13
54,Spy Hard,Comedy,81.0,1996,26.936265,4.7,PG-13
55,Tin Cup,Romantic Comedy,105.0,1996,53.854588,6.1,R
56,The Fan,Thriller/Suspense,117.0,1996,18.582965,5.6,R
57,The Craft,Thriller/Suspense,100.0,1996,24.769466,5.9,R
58,Trainspotting,Drama,94.0,1996,16.501785,8.2,R
59,A Time to Kill,Drama,150.0,1996,108.766007,7.1,R
60,That Thing You Do!,Drama,110.0,1996,25.857416,6.7,PG
61,Twister,Action,117.0,1996,241.888385,6.0,PG-13
62,The Work and the Glory: American Zion,Drama,100.0,2005,2.025032,5.6,PG-13
64,Executive Decision,Thriller/Suspense,132.0,1996,56.679192,6.3,R
65,Extreme Measures,Drama,117.0,1996,17.378193,5.9,R
66,Eye for an Eye,Drama,101.0,1996,26.7927,5.7,R
67,102 Dalmatians,Comedy,100.0,2000,66.941559,4.4,G
68,Ten Things I Hate About You,Romantic Comedy,97.0,1999,38.177966,6.9,PG-13
69,12 Rounds,Action,108.0,2009,12.234694,5.4,PG-13
70,13 Going On 30,Comedy,98.0,2004,57.139723,6.1,PG-13
71,Thirteen Ghosts,Horror,91.0,2001,41.86796,5.1,R
72,1408,Horror,102.0,2007,71.985628,6.9,PG-13
73,15 Minutes,Thriller/Suspense,120.0,2001,24.375436,6.1,R
74,2012,Action,158.0,2009,166.112167,6.2,PG-13
75,28 Days,Comedy,103.0,2000,37.035515,5.8,PG-13
76,28 Days Later...,Horror,113.0,2003,45.064915,7.6,R
77,28 Weeks Later,Horror,91.0,2007,28.638916,7.1,R
78,Secondhand Lions,Drama,111.0,2003,42.023715,7.5,PG
79,Two Can Play That Game,Romantic Comedy,91.0,2001,22.235901,5.6,R
80,Two Weeks Notice,Romantic Comedy,110.0,2002,93.354918,5.8,PG-13
81,300,Action,117.0,2007,210.614939,7.8,R
82,Three Kings,Action,115.0,1999,60.652036,7.3,R
83,3:10 to Yuma,Western,117.0,2007,53.606916,7.9,R
84,40 Days and 40 Nights,Romantic Comedy,96.0,2002,37.939782,5.4,R
85,The 40 Year-old Virgin,Comedy,111.0,2005,109.449237,7.5,R
86,Four Brothers,Drama,109.0,2005,74.494381,6.8,R
87,50 First Dates,Romantic Comedy,99.0,2004,120.776832,6.8,PG-13
88,The 6th Day,Action,123.0,2000,34.543701,5.8,PG-13
89,88 Minutes,Thriller/Suspense,106.0,2008,16.930884,5.9,R
90,8 Mile,Drama,110.0,2002,116.724075,6.7,R
91,The Whole Nine Yards,Comedy,99.0,2000,57.262492,6.6,R
92,About a Boy,Romantic Comedy,101.0,2002,40.803,7.4,PG-13
93,A Bug's Life,Adventure,96.0,1998,162.798565,7.3,G
94,Absolute Power,Thriller/Suspense,120.0,1997,50.06831,6.5,R
95,Aeon Flux,Action,88.0,2005,25.857987,8.1,PG-13
96,After the Sunset,Action,97.0,2004,28.328132,6.2,PG-13
97,A Good Year,Drama,118.0,2006,7.4593,6.8,PG-13
98,Agora,Drama,141.0,2010,0.599903,7.3,R
99,Air Bud,Comedy,97.0,1997,24.646936,4.6,PG
100,Air Force One,Action,124.0,1997,172.956409,6.3,R
101,All the King's Men,Drama,128.0,2006,7.221458,6.0,PG-13
102,The Alamo,Western,137.0,2004,22.406362,5.9,PG-13
103,All About the Benjamins,Comedy,95.0,2002,25.482931,5.3,R
104,Sweet Home Alabama,Comedy,109.0,2002,127.214072,5.8,PG-13
105,Fat Albert,Comedy,93.0,2004,48.114556,4.0,PG
106,Ali,Drama,159.0,2001,58.183966,6.6,R
107,Alien: Resurrection,Action,108.0,1997,47.795018,6.2,R
108,Almost Famous,Comedy,123.0,2000,32.522352,8.0,R
109,Evan Almighty,Comedy,78.0,2007,100.28969,5.5,PG
110,Bruce Almighty,Comedy,101.0,2003,242.704995,6.6,PG-13
111,Alone in the Dark,Horror,96.0,2005,5.178569,2.3,R
112,Along Came a Spider,Thriller/Suspense,103.0,2001,74.058698,6.1,R
113,Alvin and the Chipmunks,Comedy,92.0,2007,217.326974,5.5,PG
114,Alexander,Adventure,175.0,2004,34.297191,5.4,R
115,American Beauty,Drama,118.0,1999,130.058047,8.6,R
116,An American Carol,Comedy,84.0,2008,7.013191,4.5,PG-13
117,Le Fabuleux destin d'AmÈlie Poulain,Comedy,122.0,2001,33.201661,8.5,R
118,American Gangster,Drama,157.0,2007,130.164645,7.9,R
119,Amistad,Drama,152.0,1997,44.212592,7.1,R
120,American Pie 2,Comedy,105.0,2001,145.09682,6.2,R
121,American Wedding,Comedy,96.0,2003,104.354205,6.1,R
122,American Pie,Comedy,95.0,1999,101.800948,6.9,R
123,America's Sweethearts,Romantic Comedy,103.0,2001,93.607673,5.7,PG-13
124,The Amityville Horror,Horror,89.0,2005,65.233369,5.8,R
125,Anacondas: The Hunt for the Blood Orchid,Horror,97.0,2004,31.526393,4.3,PG-13
126,Anaconda,Horror,89.0,1997,65.598907,4.2,PG-13
127,Anastasia,Musical,94.0,1997,58.403409,6.6,G
128,Anchorman: The Legend of Ron Burgundy,Comedy,104.0,2004,84.136909,7.0,PG-13
129,Angel Eyes,Drama,103.0,2001,24.044532,5.5,R
130,Anger Management,Comedy,106.0,2003,135.560942,6.1,PG-13
131,A Night at the Roxbury,Comedy,81.0,1998,30.331165,5.7,PG-13
132,The Animal,Comedy,83.0,2001,55.762229,4.6,PG-13
133,Anna and the King,Drama,147.0,1999,39.251128,6.5,PG-13
134,Analyze That,Comedy,96.0,2002,32.122249,5.6,R
135,Analyze This,Comedy,103.0,1999,106.885658,6.6,R
136,Antz,Adventure,83.0,1998,90.757863,6.8,PG
137,Anywhere But Here,Drama,114.0,1999,18.653615,5.9,PG-13
138,Apocalypto,Adventure,136.0,2006,50.866635,7.9,R
139,The Apostle,Drama,148.0,1997,20.733485,7.1,PG-13
140,Are We There Yet?,Romantic Comedy,94.0,2005,82.674398,4.2,PG
141,Arlington Road,Thriller/Suspense,117.0,1999,24.419219,7.2,R
142,Armageddon,Adventure,150.0,1998,201.578182,6.1,PG-13
143,King Arthur,Adventure,126.0,2004,51.877963,6.2,PG-13
144,Arthur et les Minimoys,Adventure,122.0,2006,15.132763,5.9,PG
145,Artificial Intelligence: AI,Drama,146.0,2001,78.616689,6.9,PG-13
146,The Art of War,Thriller/Suspense,117.0,2000,30.199105,5.5,R
147,Astro Boy,Adventure,94.0,2009,19.551067,6.4,PG
148,The Astronaut Farmer,Drama,109.0,2007,11.003643,6.4,PG
149,As Good as it Gets,Romantic Comedy,138.0,1997,148.478011,7.8,PG-13
150,A Simple Plan,Drama,121.0,1998,16.316273,7.6,R
151,The A-Team,Action,119.0,2010,77.222099,7.2,PG-13
152,At First Sight,Drama,128.0,1999,22.365133,5.6,PG-13
153,Atlantis: The Lost Empire,Adventure,96.0,2001,84.052762,6.4,PG
154,Hearts in Atlantis,Drama,101.0,2001,24.185781,6.8,PG-13
155,Autumn in New York,Drama,106.0,2000,37.752931,4.8,PG-13
156,Atonement,Drama,130.0,2007,50.980159,7.9,R
157,August Rush,Drama,113.0,2007,31.664162,7.5,PG
158,Across the Universe,Musical,133.0,2007,24.343673,7.5,PG-13
159,Austin Powers: The Spy Who Shagged Me,Comedy,95.0,1999,206.040085,6.6,PG-13
160,Austin Powers in Goldmember,Comedy,94.0,2002,213.117789,6.2,PG-13
161,Austin Powers: International Man of Mystery,Comedy,89.0,1997,53.883989,7.1,PG-13
162,The Avengers,Action,91.0,1998,23.385416,3.4,PG-13
163,The Aviator,Drama,170.0,2004,102.608827,7.6,PG-13
164,AVP: Alien Vs. Predator,Horror,101.0,2004,80.281096,5.4,PG-13
165,Around the World in 80 Days,Adventure,120.0,2004,24.004159,5.6,PG
166,Away We Go,Comedy,98.0,2009,9.451946,7.3,R
167,Don't Say a Word,Thriller/Suspense,113.0,2001,54.997476,6.1,R
168,Babe: Pig in the City,Adventure,75.0,1998,18.31986,6.1,G
169,Babylon A.D.,Action,100.0,2008,22.532572,5.3,PG-13
170,Baby Geniuses,Comedy,94.0,1999,27.15149,2.2,PG
171,Bad Boys II,Action,147.0,2003,138.54087,6.2,R
172,Bad Company,Action,117.0,2002,30.157016,5.3,PG-13
173,Boys and Girls,Romantic Comedy,94.0,2000,21.799652,4.9,PG-13
174,Bangkok Dangerous,Action,98.0,2008,15.298133,5.4,R
175,The Banger Sisters,Comedy,98.0,2002,30.306281,5.5,R
176,Basic,Thriller/Suspense,98.0,2003,26.599248,6.3,R
177,Batman Begins,Action,140.0,2005,205.343774,8.3,PG-13
178,Battlefield Earth: A Saga of the Year 3000,Action,121.0,2000,21.471685,2.3,PG-13
179,The Dark Knight,Action,152.0,2008,533.345358,8.9,PG-13
180,Baby Boy,Drama,130.0,2001,28.734552,6.1,R
181,The Curious Case of Benjamin Button,Drama,167.0,2008,127.509326,8.0,PG-13
182,Baby Mama,Comedy,99.0,2008,60.494212,6.1,PG-13
183,Bless the Child,Thriller/Suspense,108.0,2000,29.374178,4.8,R
184,The Bachelor,Romantic Comedy,101.0,1999,21.731001,4.8,PG-13
185,Be Cool,Comedy,115.0,2005,55.849401,5.6,PG-13
186,Big Daddy,Comedy,95.0,1999,163.479795,4.7,PG-13
187,Bedazzled,Comedy,93.0,2000,37.879996,5.9,PG-13
188,Body of Lies,Thriller/Suspense,129.0,2008,39.394666,7.2,R
189,Blood Diamond,Action,143.0,2006,57.377916,8.0,R
190,Mr. Bean's Holiday,Comedy,88.0,2007,33.302167,6.0,G
191,Beavis and Butt-head Do America,Comedy,80.0,1996,63.118386,6.6,PG-13
192,Bend it Like Beckham,Drama,112.0,2003,32.543449,6.9,PG-13
193,In the Bedroom,Drama,130.0,2001,35.930604,7.5,R
194,Bee Movie,Comedy,90.0,2007,126.631277,6.3,PG
195,Being John Malkovich,Black Comedy,112.0,1999,22.858926,7.9,R
196,Behind Enemy Lines,Action,106.0,2001,58.855732,6.1,PG-13
197,Beloved,Drama,172.0,1998,22.852487,5.3,R
198,Beowulf,Adventure,115.0,2007,82.195215,6.6,PG-13
199,Big Fat Liar,Comedy,88.0,2002,47.811275,5.2,PG
200,Big Fish,Drama,125.0,2003,66.432867,8.1,PG-13
201,The Big Hit,Action,91.0,1998,27.066941,5.8,R
202,The Big Lebowski,Comedy,127.0,1998,17.498804,8.2,R
203,Big Momma's House,Comedy,98.0,2000,117.559438,4.7,PG-13
204,Black Hawk Down,Action,144.0,2001,108.638745,7.7,R
205,Billy Elliot,Drama,110.0,2000,21.995263,7.7,PG-13
206,Bicentennial Man,Drama,132.0,1999,58.220776,6.4,PG
207,Becoming Jane,Romantic Comedy,120.0,2007,18.663911,7.0,PG
208,Bridget Jones: The Edge Of Reason,Romantic Comedy,108.0,2004,40.20302,5.6,R
209,Bridget Jones's Diary,Romantic Comedy,97.0,2001,71.500556,6.8,R
210,Blade,Action,121.0,1998,70.141876,7.0,R
211,The Blair Witch Project,Horror,87.0,1999,140.539099,6.2,R
212,Blast from the Past,Comedy,111.0,1999,26.61362,6.4,PG-13
213,Blade 2,Action,117.0,2002,81.676888,5.5,R
214,Blade: Trinity,Action,113.0,2004,52.397389,5.7,R
215,Blades of Glory,Comedy,94.0,2007,118.594548,6.5,PG-13
216,Blood Work,Thriller/Suspense,110.0,2002,26.199517,6.3,R
217,Black Christmas,Horror,90.0,2006,16.235738,4.3,R
218,Black Snake Moan,Drama,115.0,2007,9.39687,7.1,R
219,Legally Blonde,Comedy,97.0,2001,96.493426,6.2,PG-13
220,Blow,Drama,123.0,2001,52.990775,7.4,R
221,Blue Crush,Drama,105.0,2002,40.11842,5.5,PG-13
222,A Beautiful Mind,Drama,135.0,2001,170.708996,8.0,PG-13
223,Bandits,Comedy,123.0,2001,41.523271,6.5,PG-13
224,Bobby,Drama,120.0,2006,11.242801,7.1,R
225,The Bone Collector,Thriller/Suspense,118.0,1999,66.48809,6.3,R
226,Boogie Nights,Drama,152.0,1997,26.410771,7.9,R
227,Borat,Comedy,83.0,2006,128.505958,7.7,R
228,The Bourne Identity,Action,110.0,2002,121.46896,7.7,PG-13
229,The Bourne Supremacy,Action,108.0,2004,176.08745,7.6,PG-13
230,The Bourne Ultimatum,Action,114.0,2007,227.47107,8.2,PG-13
231,The Borrowers,Comedy,83.0,1998,22.619589,5.6,PG
232,Bounce,Drama,106.0,2000,36.779296,5.5,PG-13
233,The Boy in the Striped Pyjamas,Drama,94.0,2008,9.030581,7.8,PG-13
234,Heartbreakers,Comedy,124.0,2001,40.334024,6.2,PG-13
235,Bringing Out The Dead,Black Comedy,120.0,1999,16.64021,6.8,R
236,Brokeback Mountain,Drama,134.0,2005,83.043761,7.8,R
237,Brooklyn Rules,Drama,99.0,2007,0.458232,6.4,R
238,The Brothers,Comedy,102.0,2001,27.457409,2.8,R
239,Brown Sugar,Romantic Comedy,109.0,2002,27.362712,6.0,PG-13
240,Barbershop 2: Back in Business,Comedy,106.0,2004,65.070412,5.5,PG-13
241,Barbershop,Comedy,103.0,2002,75.781642,6.2,PG-13
242,Best in Show,Comedy,90.0,2000,18.621249,7.4,PG-13
243,Bad Santa,Comedy,91.0,2003,60.060328,7.3,R
244,Inglourious Basterds,Action,152.0,2009,120.83105,8.4,R
245,Blue Streak,Action,95.0,1999,68.20819,5.9,PG-13
246,The Butterfly Effect,Thriller/Suspense,113.0,2004,57.924679,7.8,R
247,Batman & Robin,Action,130.0,1997,107.325195,3.5,PG-13
248,Bulworth,Comedy,107.0,1998,26.528684,6.8,R
249,Bowfinger,Comedy,96.0,1999,66.458769,6.4,PG-13
250,Bewitched,Comedy,100.0,2005,63.313159,4.8,PG-13
251,Cadillac Records,Drama,108.0,2008,8.138,6.7,R
252,Can't Hardly Wait,Comedy,98.0,1998,25.358996,6.2,PG-13
253,The Rage: Carrie 2,Horror,101.0,1999,17.760244,4.3,R
254,Cast Away,Drama,144.0,2000,233.632142,7.5,PG-13
255,Catch Me if You Can,Drama,141.0,2002,164.6068,5.7,PG-13
256,The Cat in the Hat,Comedy,82.0,2003,101.018283,3.4,PG
257,Catwoman,Action,104.0,2004,40.202379,3.2,PG-13
258,Collateral Damage,Action,109.0,2002,40.048332,5.2,R
259,Crocodile Dundee in Los Angeles,Adventure,95.0,2001,25.590119,4.6,PG
260,The Cell,Thriller/Suspense,109.0,2000,61.280963,6.2,R
261,Cellular,Thriller/Suspense,94.0,2004,32.00362,6.5,PG-13
262,City of Ember,Adventure,94.0,2008,7.871693,6.4,PG
263,Charlie and the Chocolate Factory,Comedy,115.0,2005,206.459076,7.1,PG
264,Catch a Fire,Thriller/Suspense,101.0,2006,4.299773,6.8,PG-13
265,Charlie's Angels: Full Throttle,Action,106.0,2003,100.814328,4.7,PG-13
266,Charlie's Angels,Adventure,98.0,2000,125.305545,5.5,PG-13
267,Chicago,Musical,113.0,2002,170.687518,7.2,PG-13
268,Chicken Little,Adventure,80.0,2005,135.386665,5.8,G
269,Chicken Run,Adventure,84.0,2000,106.793915,7.3,G
270,Cheaper by the Dozen,Comedy,98.0,2003,138.614544,5.6,PG
271,Cheaper by the Dozen 2,Comedy,94.0,2005,82.571173,5.2,PG
272,Bride of Chucky,Horror,89.0,1998,32.404188,5.3,R
273,Children of Men,Thriller/Suspense,114.0,2006,35.552383,8.1,R
274,Love in the Time of Cholera,Drama,139.0,2007,4.617608,6.2,R
275,Chocolat,Drama,122.0,2000,71.30976,7.3,PG-13
276,Charlotte's Web,Drama,98.0,2006,82.985708,6.7,G
277,Cinderella Man,Drama,144.0,2005,61.649911,8.0,PG-13
278,A Cinderella Story,Romantic Comedy,95.0,2004,51.438175,5.4,PG
279,City of Angels,Drama,117.0,1998,78.750909,6.4,PG-13
280,A Civil Action,Drama,112.0,1998,56.709981,6.4,PG-13
281,The Santa Clause 2,Comedy,104.0,2002,139.225854,5.5,G
282,Cold Mountain,Drama,152.0,2003,95.632614,7.3,R
283,Code Name: The Cleaner,Comedy,91.0,2007,8.135024,4.0,PG-13
284,Closer,Drama,104.0,2004,33.987757,2.9,R
285,Maid in Manhattan,Romantic Comedy,105.0,2002,93.932896,4.6,PG-13
286,Constantine,Action,122.0,2005,75.976178,6.7,R
287,Coach Carter,Drama,136.0,2005,67.264877,7.1,PG-13
288,Agent Cody Banks 2: Destination London,Comedy,100.0,2004,23.514247,4.1,PG
289,Agent Cody Banks,Comedy,102.0,2003,47.54506,5.1,PG
290,Collateral,Action,120.0,2004,100.170152,7.8,R
291,College,Comedy,94.0,2008,4.694491,4.3,R
292,Con Air,Action,115.0,1997,101.117573,6.6,R
293,Conspiracy Theory,Thriller/Suspense,135.0,1997,76.11899,6.5,R
294,Contact,Drama,150.0,1997,100.920329,7.3,PG
295,Copying Beethoven,Drama,104.0,2006,0.355968,6.8,PG-13
296,Corky Romano,Comedy,86.0,2001,23.978402,4.2,PG-13
297,Coraline,Adventure,100.0,2009,75.286229,7.8,PG
298,Confessions of a Teenage Drama Queen,Comedy,89.0,2004,29.331068,4.3,PG
299,The Covenant,Thriller/Suspense,95.0,2006,23.364784,4.8,PG-13
300,Cop Land,Drama,105.0,1997,44.906632,6.9,R
301,Couples Retreat,Comedy,113.0,2009,109.20566,5.5,PG-13
302,Crank,Action,88.0,2006,27.838408,7.1,R
303,Cradle 2 the Grave,Horror,101.0,2003,34.657731,5.4,R
304,The Corruptor,Action,110.0,1999,15.164492,5.8,R
305,Man cheng jin dai huang jin jia,Action,113.0,2006,6.566773,7.0,R
306,Crash,Drama,107.0,2005,54.557348,6.1,R
307,Crossroads,Drama,93.0,2002,37.188667,6.6,PG-13
308,The Count of Monte Cristo,Drama,131.0,2002,54.228104,7.6,PG-13
309,Cruel Intentions,Drama,95.0,1999,38.230075,6.7,R
310,Clockstoppers,Adventure,94.0,2002,36.985501,5.0,PG
311,Cats & Dogs,Comedy,91.0,2001,93.375151,5.2,PG
312,The City of Your Final Destination,Drama,114.0,2010,0.493296,6.6,PG-13
313,Coyote Ugly,Drama,101.0,2000,60.786269,5.3,PG-13
314,Cloudy with a Chance of Meatballs,Comedy,90.0,2009,124.870275,7.2,PG
315,Daddy Day Camp,Comedy,85.0,2007,13.235267,2.4,PG
316,Daddy Day Care,Comedy,92.0,2003,104.148781,5.5,PG
317,The Black Dahlia,Thriller/Suspense,121.0,2006,22.672813,5.6,R
318,Diary of a Mad Black Woman,Drama,116.0,2005,50.406346,4.9,PG-13
319,Dance Flick,Comedy,83.0,2009,25.662155,3.4,PG-13
320,Daredevil,Action,105.0,2003,102.543518,5.5,PG-13
321,Dawn of the Dead,Horror,100.0,2004,58.990765,7.4,R
322,The Great Debaters,Drama,130.0,2007,30.226144,7.6,PG-13
323,Double Jeopardy,Action,105.0,1999,116.735231,6.0,R
324,Deep Blue Sea,Action,105.0,1999,73.648228,5.6,R
325,Drive Me Crazy,Comedy,91.0,1999,17.843379,5.1,PG-13
326,Mr. Deeds,Comedy,96.0,2002,126.293452,5.5,PG-13
327,DÈj‡ Vu,Thriller/Suspense,126.0,2006,64.038616,7.0,PG-13
328,Delgo,Adventure,88.0,2008,0.91584,4.4,PG
329,Despicable Me,Comedy,95.0,2010,244.88507,7.7,PG
330,Deuce Bigalow: Male Gigolo,Comedy,88.0,1999,65.535067,5.6,R
331,Darkness Falls,Horror,86.0,2003,32.539681,4.6,PG-13
332,Dragonfly,Drama,104.0,2002,30.063805,5.8,PG-13
333,Live Free or Die Hard,Action,128.0,2007,134.529403,7.5,PG-13
334,Banlieue 13,Action,85.0,2006,1.200216,7.1,R
335,Disaster Movie,Comedy,88.0,2008,14.190901,1.7000000000000002,PG-13
336,District 9,Thriller/Suspense,111.0,2009,115.646235,8.3,R
337,Disturbing Behavior,Thriller/Suspense,83.0,1998,17.507368,5.2,R
338,Dead Man on Campus,Black Comedy,93.0,1998,15.064948,5.6,R
339,Dinosaur,Adventure,82.0,2000,137.748063,6.2,PG
340,Dogma,Comedy,135.0,1999,30.651422,7.3,R
341,Domestic Disturbance,Thriller/Suspense,89.0,2001,45.207112,5.3,PG-13
342,Domino,Action,133.0,2005,10.169202,5.9,R
343,Donnie Brasco,Drama,121.0,1997,41.954997,7.7,R
344,Doug's 1st Movie,Adventure,77.0,1999,19.421271,4.8,G
345,Deep Impact,Adventure,120.0,1998,140.464664,6.0,PG-13
346,The Departed,Drama,152.0,2006,133.311,8.5,R
347,Dracula 2000,Horror,99.0,2000,33.000377,4.8,R
348,Death Race,Action,105.0,2008,36.316032,6.6,R
349,Drag Me To Hell,Horror,99.0,2009,42.100625,7.1,PG-13
350,Doctor Dolittle 2,Comedy,87.0,2001,112.950721,6.0,PG
351,Doctor Dolittle,Comedy,85.0,1998,144.156605,5.2,PG-13
352,Driven,Action,117.0,2001,32.616869,4.2,PG-13
353,Dreamcatcher,Drama,136.0,2003,33.685268,5.3,R
354,Dreamgirls,Musical,130.0,2006,103.365956,6.6,PG-13
355,Drumline,Comedy,118.0,2002,56.398162,5.2,PG-13
356,The Descent,Thriller/Suspense,99.0,2006,26.024456,7.4,R
357,The Master of Disguise,Comedy,80.0,2002,40.36353,3.0,PG
358,Disturbia,Thriller/Suspense,104.0,2007,80.209692,7.0,PG-13
359,Double Take,Action,88.0,2001,29.823162,6.8,PG-13
360,Death at a Funeral,Comedy,90.0,2007,8.580428,5.1,R
361,The Dukes of Hazzard,Comedy,105.0,2005,80.270227,4.7,PG-13
362,Dumb and Dumberer: When Harry Met Lloyd,Comedy,85.0,2003,26.214846,3.3,PG-13
363,D-War,Action,90.0,2007,10.977721,3.8,PG-13
364,Down to Earth,Comedy,87.0,2001,64.172251,5.0,PG-13
365,Down to You,Romantic Comedy,92.0,2000,20.03531,4.4,PG-13
366,EDtv,Comedy,122.0,1999,22.508689,6.0,PG-13
367,Eagle Eye,Thriller/Suspense,117.0,2008,101.440743,6.6,PG-13
368,8MM,Thriller/Suspense,119.0,1999,36.443442,6.3,R
369,Election,Black Comedy,103.0,1999,14.943582,7.4,R
370,Elf,Comedy,95.0,2003,173.398518,6.8,PG
371,Elizabeth,Drama,124.0,1998,30.082699,7.6,R
372,Ella Enchanted,Comedy,96.0,2004,22.913677,6.3,PG
373,Once Upon a Time in Mexico,Action,102.0,2003,56.330657,6.2,R
374,La marche de l'empereur,Documentary,80.0,2005,77.437223,7.8,G
375,Employee of the Month,Comedy,103.0,2006,28.444855,5.4,PG-13
376,The Emperor's New Groove,Adventure,78.0,2000,89.296573,7.4,G
377,Enchanted,Romantic Comedy,108.0,2007,127.706877,7.5,PG
378,End of Days,Action,120.0,1999,66.889043,5.4,R
379,Enemy at the Gates,Drama,131.0,2001,51.396781,7.4,R
380,Enemy of the State,Action,127.0,1998,111.549836,7.2,R
381,Entrapment,Thriller/Suspense,112.0,1999,87.707396,6.1,PG-13
382,Enough,Thriller/Suspense,115.0,2002,39.177215,6.5,PG-13
383,Epic Movie,Comedy,86.0,2007,39.739367,2.2,PG-13
384,Eragon,Adventure,102.0,2006,75.030163,5.0,PG
385,Erin Brockovich,Drama,133.0,2000,125.548685,7.2,R
386,Elizabethtown,Drama,133.0,2005,26.850426,6.4,PG-13
387,Eat Pray Love,Drama,143.0,2010,78.146373,4.7,R
388,Eternal Sunshine of the Spotless Mind,Comedy,108.0,2004,34.366518,8.5,R
389,Eve's Bayou,Drama,109.0,1997,14.843425,7.0,R
390,Event Horizon,Horror,95.0,1997,26.673242,6.3,R
391,Evita,Musical,134.0,1996,50.047179,6.1,PG
392,Evolution,Comedy,102.0,2001,38.311134,5.9,PG-13
393,Fong juk,Action,100.0,2007,0.051957,7.3,Not Rated
394,Exit Wounds,Action,100.0,2001,51.758599,5.2,R
395,The Exorcism of Emily Rose,Thriller/Suspense,114.0,2005,75.072454,6.8,PG-13
396,Exorcist: The Beginning,Horror,114.0,2004,41.814863,5.0,R
397,The Express,Drama,129.0,2008,9.793406,7.1,PG
398,Eyes Wide Shut,Drama,159.0,1999,55.691208,7.2,R
399,The Faculty,Horror,102.0,1998,40.283321,6.3,R
400,Keeping the Faith,Romantic Comedy,129.0,2000,37.036404,6.5,PG-13
401,The Family Stone,Comedy,103.0,2005,60.062868,6.3,PG-13
